Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Priority,Shipping_Cost,Customer_Tenure,Marketing_Channel,Product_Rating,Return_Status,Payment_Method,Shipping_Delay,Profit_Margin,Discount_Reason
CA-2017-100237,15-10-17,19-10-17,Standard Class,SV-20815,Stuart Van,Corporate,United States,Orem,Utah,84057,West,OFF-AR-10001761,Office Supplies,Art,Avery Hi-Liter Smear-Safe Highlighters,11.68,2,0,4.2048,Low,1.41,Returning,Email,4,No,Net Banking,4,36,No Discount
CA-2017-151799,14-12-17,18-12-17,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Lawrence,Massachusetts,1841,East,OFF-SU-10001664,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,25.71,3,0,6.6846,High,2.04,Returning,Social Media,3,No,Cash On Delivery,4,26,No Discount
CA-2016-142594,01-12-16,06-12-16,Second Class,EJ-14155,Eva Jacobs,Consumer,United States,Franklin,Massachusetts,2038,East,FUR-FU-10002045,Furniture,Furnishings,"Executive Impressions 14""",111.15,5,0,48.906,Critical,16.37,Returning,Direct,3,No,Credit Card,5,44,No Discount
US-2014-112872,06-12-14,11-12-14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Springfield,Oregon,97477,West,OFF-ST-10002205,Office Supplies,Storage,File Shuttle I and Handi-File,53.424,3,0.2,4.6746,High,4.36,New,Referral,2,Yes,Credit Card,5,8.75,Promo
CA-2016-117590,08-12-16,10-12-16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,High,164.29,New,Direct,3,No,Cash On Delivery,2,11.25,Promo
CA-2014-164749,23-03-14,26-03-14,First Class,BG-11740,Bruce Geld,Consumer,United States,Delray Beach,Florida,33445,South,OFF-LA-10004484,Office Supplies,Labels,Avery 476,9.912,3,0.2,3.2214,Low,0.83,New,Referral,1,No,Net Banking,3,32.5,Promo
CA-2014-151946,04-06-14,09-06-14,Standard Class,BT-11440,Bobby Trafton,Consumer,United States,New York City,New York,10035,East,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",15.56,4,0,4.0456,Medium,1.28,Returning,Social Media,4,Yes,Net Banking,5,26,No Discount
US-2014-166310,21-09-14,23-09-14,First Class,JS-15940,Joni Sundaresam,Home Office,United States,Garland,Texas,75043,Central,FUR-FU-10001546,Furniture,Furnishings,Dana Swing-Arm Lamps,8.544,2,0.6,-7.476,Medium,0.86,Returning,Email,4,No,Upi,2,-87.5,Clearance
US-2015-147662,14-02-15,19-02-15,Standard Class,KB-16315,Karl Braun,Consumer,United States,Akron,Ohio,44312,East,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,2.286,2,0.7,-1.6764,Critical,0.26,Returning,Email,5,No,Upi,5,-73.33333333,Clearance
CA-2015-143490,06-12-15,13-12-15,Standard Class,NP-18325,Naresj Patel,Consumer,United States,San Diego,California,92105,West,TEC-PH-10000576,Technology,Phones,AT&T 1080 Corded phone,219.184,2,0.2,19.1786,Critical,12.92,Returning,Email,4,No,Upi,7,8.75,Promo
CA-2016-111416,17-09-16,22-09-16,Standard Class,LW-17215,Luke Weiss,Consumer,United States,New York City,New York,10035,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,232.4,5,0.2,78.435,Medium,18.47,Returning,Direct,4,No,Cash On Delivery,5,33.75,Promo
CA-2017-141138,10-11-17,16-11-17,Standard Class,GH-14425,Gary Hwang,Consumer,United States,Modesto,California,95351,West,TEC-AC-10001772,Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,111.79,7,0,43.5981,High,13.61,New,Social Media,5,No,Net Banking,6,39,No Discount
CA-2016-113733,08-12-16,12-12-16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Greenville,North Carolina,27834,South,TEC-PH-10002496,Technology,Phones,Cisco SPA301,249.584,2,0.2,31.198,Critical,15.81,Returning,Ads,1,No,Credit Card,4,12.5,Promo
CA-2017-145772,03-06-17,07-06-17,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,11.96,2,0,5.382,Low,1.11,Returning,Email,3.459459459,No,Upi,4,45,No Discount
CA-2015-126557,12-07-15,17-07-15,Second Class,RL-19615,Rob Lucas,Consumer,United States,Chicago,Illinois,60610,Central,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",7.76,1,0.6,-2.134,Critical,0.84,Returning,Ads,2,No,Upi,5,-27.5,Clearance
US-2014-105137,10-10-14,10-10-14,Same Day,RB-19435,Richard Bierner,Consumer,United States,Columbus,Ohio,43229,East,TEC-MA-10002694,Technology,Machines,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,101.994,2,0.7,-71.3958,Medium,14.98,Returning,Referral,1,No,Credit Card,0,-70,Clearance
CA-2015-113628,12-11-15,19-11-15,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Plantation,Florida,33317,South,TEC-PH-10000441,Technology,Phones,VTech DS6151,100.792,1,0.2,10.0792,Low,13.27,Returning,Social Media,4,No,Net Banking,7,10,Promo
CA-2016-157749,04-06-16,09-06-16,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,25.92,5,0.2,9.396,Low,3.21,Returning,Referral,4,No,Upi,5,36.25,Promo
CA-2014-162089,30-03-14,01-04-14,First Class,MP-17470,Mark Packer,Home Office,United States,Brownsville,Texas,78521,Central,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,251.944,7,0.2,88.1804,Critical,15.16,New,Direct,4,No,Upi,2,35,Promo
CA-2016-140081,20-06-16,24-06-16,Standard Class,CG-12040,Catherine Glotzbach,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10001870,Office Supplies,Paper,Xerox 202,15.552,3,0.2,5.4432,Medium,1.8,New,Ads,1,No,Net Banking,4,35,Promo
CA-2016-157707,10-10-16,12-10-16,First Class,CC-12610,Corey Catlett,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10004853,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",120.784,1,0.2,13.5882,Medium,6.57,Returning,Social Media,3,No,Cash On Delivery,2,11.25,Promo
CA-2017-145779,06-05-17,10-05-17,Standard Class,DB-13615,Doug Bickford,Consumer,United States,Tucson,Arizona,85705,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,84.416,4,0.2,27.4352,Medium,7.59,Returning,Referral,3.419642857,No,Net Banking,4,32.5,Promo
CA-2016-113236,26-05-16,29-05-16,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Delray Beach,Florida,33445,South,TEC-AC-10001267,Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,47.92,2,0.2,11.98,Low,6.62,New,Referral,3,No,Upi,3,25,Promo
CA-2014-119375,17-11-14,22-11-14,Standard Class,YC-21895,Yoseph Carroll,Corporate,United States,Newark,Delaware,19711,East,OFF-AR-10003752,Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,57.75,5,0,26.565,High,3.95,New,Ads,3,No,Cash On Delivery,5,46,No Discount
CA-2014-108182,06-02-14,10-02-14,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.952,2,0.8,-14.7708,Critical,0.96,New,Social Media,1,No,Net Banking,4,-165,Clearance
CA-2016-100944,24-09-16,28-09-16,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Los Angeles,California,90049,West,OFF-EN-10001453,Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",304.9,5,0,143.303,Low,30.64,Returning,Social Media,3,No,Upi,4,47,No Discount
US-2017-132031,23-04-17,27-04-17,Standard Class,PN-18775,Parhena Norris,Home Office,United States,Clarksville,Tennessee,37042,South,OFF-LA-10000081,Office Supplies,Labels,Avery 496,3,1,0.2,1.05,Medium,0.22,Returning,Referral,2,Yes,Cash On Delivery,4,35,Promo
CA-2017-167150,10-12-17,17-12-17,Standard Class,BP-11185,Ben Peterman,Corporate,United States,San Diego,California,92037,West,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,19.936,4,0.2,7.2268,Medium,6.55,Returning,Direct,4,No,Credit Card,7,36.25,Promo
US-2017-130953,29-07-17,03-08-17,Standard Class,RF-19735,Roland Fjeld,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,OFF-BI-10004828,Office Supplies,Binders,GBC Poly Designer Binding Covers,33.48,2,0,16.4052,High,3.88,Returning,Referral,3,No,Cash On Delivery,5,49,No Discount
CA-2017-133249,08-07-17,11-07-17,First Class,SZ-20035,Sam Zeldin,Home Office,United States,Pico Rivera,California,90660,West,FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",145.9,5,0,62.737,Low,9.36,New,Referral,3,No,Upi,3,43,No Discount
CA-2015-169796,09-11-15,14-11-15,Standard Class,Dp-13240,Dean percer,Home Office,United States,New York City,New York,10035,East,TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,2321.9,2,0,1114.512,High,192.92,Returning,Social Media,5,No,Cash On Delivery,5,48,No Discount
CA-2014-159835,17-11-14,24-11-14,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-PA-10002137,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",12.448,2,0.2,3.89,Low,1.4,Returning,Social Media,5,No,Upi,7,31.25,Promo
CA-2016-134376,02-10-16,06-10-16,Standard Class,TT-21265,Tim Taslimi,Corporate,United States,New York City,New York,10024,East,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,61.44,3,0,16.5888,Low,7.3,Returning,Referral,3,No,Cash On Delivery,4,27,No Discount
US-2016-144393,28-10-16,04-11-16,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Greenville,North Carolina,27834,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",17.616,4,0.7,-14.0928,Low,1.39,New,Social Media,1,No,Upi,7,-80,Clearance
CA-2016-148096,16-08-16,19-08-16,First Class,AO-10810,Anthony O'Donnell,Corporate,United States,Los Angeles,California,90045,West,FUR-TA-10004152,Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",161.28,2,0.2,12.096,Low,16.21,Returning,Direct,2,No,Credit Card,3,7.5,Promo
CA-2016-126158,25-07-16,31-07-16,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,FUR-FU-10000073,Furniture,Furnishings,Deflect-O Glasstique Clear Desk Accessories,69.3,9,0,22.869,High,6.45,Returning,Referral,2,Yes,Cash On Delivery,6,33,No Discount
US-2014-126571,11-10-14,15-10-14,Standard Class,JF-15565,Jill Fjeld,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes,201.432,3,0.2,67.9833,High,17,Returning,Ads,2,No,Upi,4,33.75,Promo
CA-2017-160927,29-01-17,31-01-17,Second Class,TM-21010,Tamara Manning,Consumer,United States,Marion,Iowa,52302,Central,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",14.91,3,0,4.6221,Low,0.8,New,Referral,1,No,Upi,2,31,No Discount
CA-2015-158351,20-06-15,24-06-15,Second Class,BC-11125,Becky Castell,Home Office,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,319.984,2,0.2,91.9954,Low,18.9,Returning,Direct,4,No,Cash On Delivery,4,28.75,Promo
CA-2015-153038,18-12-15,25-12-15,Standard Class,RB-19645,Robert Barroso,Corporate,United States,Memphis,Tennessee,38109,South,OFF-LA-10004008,Office Supplies,Labels,Avery 507,18.432,8,0.2,5.9904,Low,1.21,Returning,Referral,3,No,Cash On Delivery,7,32.5,Promo
CA-2014-133963,18-05-14,22-05-14,Second Class,GA-14515,George Ashbrook,Consumer,United States,Dallas,Texas,75220,Central,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,3.984,1,0.2,1.4442,Low,0.24,Returning,Referral,1,No,Net Banking,4,36.25,Promo
CA-2014-154837,23-08-14,27-08-14,Second Class,RB-19645,Robert Barroso,Corporate,United States,Los Angeles,California,90032,West,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,49.568,2,0.2,17.3488,Medium,2.62,Returning,Referral,4,No,Credit Card,4,35,Promo
CA-2017-149881,01-04-17,03-04-17,First Class,NC-18535,Nick Crebassa,Corporate,United States,San Francisco,California,94110,West,FUR-BO-10003894,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",482.664,8,0.15,85.176,High,34.86,Returning,Social Media,4,No,Upi,2,17.64705882,Promo
CA-2017-164756,18-09-17,22-09-17,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Columbus,Georgia,31907,South,OFF-PA-10003228,Office Supplies,Paper,Xerox 1917,244.55,5,0,114.9385,High,18.06,New,Email,5,No,Net Banking,4,47,No Discount
CA-2017-148012,09-12-17,15-12-17,Standard Class,KM-16225,Kalyca Meade,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,2.624,1,0.2,0.4264,High,0.38,New,Social Media,3,No,Cash On Delivery,6,16.25,Promo
CA-2015-126697,21-09-15,24-09-15,First Class,SV-20815,Stuart Van,Corporate,United States,Houston,Texas,77041,Central,TEC-AC-10004353,Technology,Accessories,Hypercom P1300 Pinpad,151.2,3,0.2,32.13,High,13.51,Returning,Direct,4,No,Net Banking,3,21.25,Promo
CA-2014-156314,24-12-14,26-12-14,First Class,RP-19390,Resi Pölking,Consumer,United States,Cleveland,Ohio,44105,East,FUR-FU-10003096,Furniture,Furnishings,"Master Giant Foot Doorstop, Safety Yellow",30.36,5,0.2,8.7285,High,3.51,New,Referral,3,No,Credit Card,2,28.75,Promo
CA-2015-130995,01-11-15,06-11-15,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,New York City,New York,10009,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,4.95,1,0,1.3365,Medium,0.34,New,Ads,4,No,Cash On Delivery,5,27,No Discount
CA-2014-106971,02-09-14,08-09-14,Standard Class,BM-11785,Bryan Mills,Consumer,United States,Buffalo Grove,Illinois,60089,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,475.944,7,0.2,95.1888,Critical,46.2,Returning,Social Media,3,Yes,Net Banking,6,20,Promo
CA-2014-131541,28-07-14,28-07-14,Same Day,CK-12205,Chloris Kastensmidt,Consumer,United States,Apopka,Florida,32712,South,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",14.32,5,0.2,5.191,High,1.78,Returning,Direct,3,No,Net Banking,0,36.25,Promo
CA-2014-114643,13-06-14,17-06-14,Standard Class,FM-14215,Filia McAdams,Corporate,United States,Los Angeles,California,90032,West,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,14.52,3,0,4.7916,Low,1.31,Returning,Email,5,No,Net Banking,4,33,No Discount
US-2014-138247,24-12-14,29-12-14,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Los Angeles,California,90045,West,OFF-AP-10000828,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,361.96,2,0,101.3488,High,38.25,New,Social Media,3,No,Cash On Delivery,5,28,No Discount
CA-2017-136623,11-07-17,16-07-17,Standard Class,TS-21430,Tom Stivers,Corporate,United States,San Diego,California,92105,West,TEC-PH-10000004,Technology,Phones,Belkin iPhone and iPad Lightning Cable,71.952,6,0.2,5.3964,High,6.89,Returning,Ads,2,No,Net Banking,5,7.5,Promo
CA-2017-143035,03-10-17,05-10-17,Second Class,CC-12430,Chuck Clark,Home Office,United States,New York City,New York,10009,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,83.92,4,0,21.8192,High,4.67,Returning,Direct,4,No,Credit Card,2,26,No Discount
CA-2017-103380,21-11-17,25-11-17,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,California,91104,West,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,9.02,2,0,3.5178,Medium,0.6,Returning,Email,4,No,Cash On Delivery,4,39,No Discount
CA-2017-109183,04-12-17,09-12-17,Standard Class,LR-16915,Lena Radford,Consumer,United States,Nashville,Tennessee,37211,South,TEC-MA-10001856,Technology,Machines,Okidata C610n Printer,649,2,0.5,-272.58,Medium,73.26,Returning,Ads,3,No,Upi,5,-42,Clearance
US-2016-144477,12-08-16,14-08-16,Second Class,DB-13270,Deborah Brumfield,Home Office,United States,Philadelphia,Pennsylvania,19134,East,OFF-AR-10000914,Office Supplies,Art,Boston 16765 Mini Stand Up Battery Pencil Sharpener,37.312,4,0.2,2.7984,High,3.15,Returning,Email,5,No,Net Banking,2,7.5,Promo
US-2015-132836,01-06-15,05-06-15,Standard Class,AJ-10945,Ashley Jarboe,Consumer,United States,Detroit,Michigan,48227,Central,TEC-PH-10001299,Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,299.98,2,0,83.9944,High,32.8,Returning,Social Media,3,No,Upi,4,28,No Discount
US-2017-142188,11-09-17,11-09-17,Same Day,JF-15415,Jennifer Ferguson,Consumer,United States,Seattle,Washington,98105,West,OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,71.28,11,0,34.2144,High,10.14,New,Direct,3,No,Upi,0,48,No Discount
CA-2016-127208,12-06-16,15-06-16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,Critical,21.88,Returning,Ads,4,No,Net Banking,3,27,No Discount
CA-2014-140228,28-04-14,03-05-14,Standard Class,GB-14530,George Bell,Corporate,United States,Newark,Ohio,43055,East,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",177.568,2,0.2,-37.7332,Medium,14.89,Returning,Email,4,No,Cash On Delivery,5,-21.25,Promo
CA-2014-141649,30-09-14,30-09-14,Same Day,DM-12955,Dario Medina,Corporate,United States,Fairfield,Ohio,45014,East,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,795.408,6,0.2,59.6556,Medium,81.92,Returning,Social Media,1,No,Upi,0,7.5,Promo
CA-2015-110016,29-11-15,04-12-15,Standard Class,BT-11395,Bill Tyler,Corporate,United States,Detroit,Michigan,48227,Central,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",1106.91,9,0,121.7601,Medium,140.79,Returning,Referral,3,No,Net Banking,5,11,No Discount
CA-2014-160766,14-09-14,14-09-14,Same Day,DM-13015,Darrin Martin,Consumer,United States,New York City,New York,10009,East,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,68.46,7,0,31.4916,Critical,8.25,Returning,Email,4,No,Credit Card,0,46,No Discount
CA-2015-103135,24-07-15,28-07-15,Standard Class,SS-20515,Shirley Schmidt,Home Office,United States,Louisville,Kentucky,40214,South,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",135.09,9,0,62.1414,Critical,13.45,Returning,Direct,5,No,Credit Card,4,46,No Discount
CA-2014-144071,08-12-14,15-12-14,Standard Class,DJ-13420,Denny Joy,Corporate,United States,San Francisco,California,94110,West,FUR-FU-10000758,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,79.44,3,0,28.5984,Critical,5.22,Returning,Referral,5,No,Credit Card,7,36,No Discount
CA-2017-127782,02-11-17,06-11-17,Standard Class,TH-21115,Thea Hudgings,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,3.312,1,0.2,0.6624,Critical,0.2,Returning,Email,4,No,Upi,4,20,Promo
CA-2017-131695,30-06-17,06-07-17,Standard Class,RA-19285,Ralph Arnett,Consumer,United States,New York City,New York,10024,East,FUR-FU-10002045,Furniture,Furnishings,"Executive Impressions 14""",22.23,1,0,9.7812,Low,3.22,Returning,Social Media,3.325,No,Upi,6,44,No Discount
CA-2017-144848,04-04-17,05-04-17,First Class,DS-13030,Darrin Sayre,Home Office,United States,New York City,New York,10009,East,TEC-PH-10002262,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,119.02,2,0,33.3256,Medium,12.16,Returning,Social Media,4,No,Net Banking,1,28,No Discount
CA-2015-156853,03-12-15,05-12-15,Second Class,HP-14815,Harold Pawlan,Home Office,United States,Concord,New Hampshire,3301,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,184.66,7,0,84.9436,Medium,11.27,Returning,Social Media,2,No,Cash On Delivery,2,46,No Discount
US-2017-115595,09-10-17,11-10-17,First Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90032,West,OFF-PA-10001745,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",35.2,5,0,16.544,Medium,4.87,Returning,Referral,1,No,Credit Card,2,47,No Discount
CA-2014-146283,08-09-14,15-09-14,Standard Class,KT-16465,Kean Takahito,Consumer,United States,Houston,Texas,77036,Central,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",182.112,6,0.2,61.4628,Critical,23.11,New,Ads,4,No,Net Banking,7,33.75,Promo
US-2017-152569,15-05-17,20-05-17,Standard Class,JD-16015,Joy Daniels,Consumer,United States,Chicago,Illinois,60653,Central,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,56.704,2,0.2,19.1376,Low,5.62,Returning,Ads,3,No,Credit Card,5,33.75,Promo
CA-2014-110065,05-08-14,11-08-14,Standard Class,SP-20650,Stephanie Phelps,Corporate,United States,New York City,New York,10009,East,OFF-AR-10004165,Office Supplies,Art,"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",15.96,7,0,7.0224,Low,1,Returning,Social Media,1,Yes,Cash On Delivery,6,44,No Discount
CA-2017-163097,27-08-17,31-08-17,Standard Class,SF-20200,Sarah Foster,Consumer,United States,Mesa,Arizona,85204,West,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,120.576,8,0.2,33.1584,Low,7.61,Returning,Referral,2,No,Cash On Delivery,4,27.5,Promo
