"order_id","order_date","order_priority","ship_date","shipping_delay","ship_mode","shipping_cost","customer_id","customer_name","segment","customer_tenure","payment_method","country","state","city","postal_code","region","product_id","product_name","category","sub_category","product_rating","marketing_channel","quantity","return_status","discount","sales","profit","profit_margin","discount_reason"
"CA-2017-102771","2017-03-31","High","2017-04-05",5,"Standard Class","6.75","DO-13435","Denny Ordway","Consumer","New","Net Banking","United States","New York","New York City","10035","East","TEC-PH-10001536","Spigen Samsung Galaxy S5 Case Wallet","Technology","Phones","2","Social Media",5,"No","0","84.95","22.087","26","No Discount"
"CA-2017-100237","2017-10-15","Low","2017-10-19",4,"Standard Class","1.41","SV-20815","Stuart Van","Corporate","Returning","Net Banking","United States","Utah","Orem","84057","West","OFF-AR-10001761","Avery Hi-Liter Smear-Safe Highlighters","Office Supplies","Art","4","Email",2,"No","0","11.68","4.2048","36","No Discount"
"CA-2017-151799","2017-12-14","High","2017-12-18",4,"Standard Class","2.04","BF-11170","Ben Ferrer","Home Office","Returning","Cash on Delivery","United States","Massachusetts","Lawrence","1841","East","OFF-SU-10001664","Acme Office Executive Series Stainless Steel Trimmers","Office Supplies","Supplies","3","Social Media",3,"No","0","25.71","6.6846","25.999999999999996","No Discount"
"CA-2016-142594","2016-12-01","Critical","2016-12-06",5,"Second Class","16.37","EJ-14155","Eva Jacobs","Consumer","Returning","Credit Card","United States","Massachusetts","Franklin","2038","East","FUR-FU-10002045","Executive Impressions 14""","Furniture","Furnishings","3","Direct",5,"No","0","111.15","48.906","43.99999999999999","No Discount"
"US-2014-112872","2014-12-06","High","2014-12-11",5,"Second Class","4.36","RC-19960","Ryan Crowe","Consumer","New","Credit Card","United States","Oregon","Springfield","97477","West","OFF-ST-10002205","File Shuttle I and Handi-File","Office Supplies","Storage","2","Referral",3,"Yes","0.2","53.424","4.6746","8.75","Promo"
"CA-2016-117590","2016-12-08","High","2016-12-10",2,"First Class","164.29","GH-14485","Gene Hale","Corporate","New","Cash on Delivery","United States","Texas","Richardson","75080","Central","TEC-PH-10004977","GE 30524EE4","Technology","Phones","3","Direct",7,"No","0.2","1097.544","123.4737","11.249999999999998","Promo"
"CA-2014-164749","2014-03-23","Low","2014-03-26",3,"First Class","0.83","BG-11740","Bruce Geld","Consumer","New","Net Banking","United States","Florida","Delray Beach","33445","South","OFF-LA-10004484","Avery 476","Office Supplies","Labels","1","Referral",3,"No","0.2","9.912","3.2214","32.49999999999999","Promo"
"CA-2014-151946","2014-06-04","Medium","2014-06-09",5,"Standard Class","1.28","BT-11440","Bobby Trafton","Consumer","Returning","Net Banking","United States","New York","New York City","10035","East","OFF-AP-10001626","Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags","Office Supplies","Appliances","4","Social Media",4,"Yes","0","15.56","4.0456","26","No Discount"
"US-2014-166310","2014-09-21","Medium","2014-09-23",2,"First Class","0.86","JS-15940","Joni Sundaresam","Home Office","Returning","UPI","United States","Texas","Garland","75043","Central","FUR-FU-10001546","Dana Swing-Arm Lamps","Furniture","Furnishings","4","Email",2,"No","0.6","8.544","-7.476","-87.5","Clearance"
"US-2015-147662","2015-02-14","Critical","2015-02-19",5,"Standard Class","0.26","KB-16315","Karl Braun","Consumer","Returning","UPI","United States","Ohio","Akron","44312","East","OFF-BI-10002160","Acco Hanging Data Binders","Office Supplies","Binders","5","Email",2,"No","0.7","2.286","-1.6764","-73.33333333333333","Clearance"
"CA-2015-143490","2015-12-06","Critical","2015-12-13",7,"Standard Class","12.92","NP-18325","Naresj Patel","Consumer","Returning","UPI","United States","California","San Diego","92105","West","TEC-PH-10000576","AT&T 1080 Corded phone","Technology","Phones","4","Email",2,"No","0.2","219.184","19.1786","8.75","Promo"
"CA-2016-111416","2016-09-17","Medium","2016-09-22",5,"Standard Class","18.47","LW-17215","Luke Weiss","Consumer","Returning","Cash on Delivery","United States","New York","New York City","10035","East","OFF-BI-10002026","Avery Arch Ring Binders","Office Supplies","Binders","4","Direct",5,"No","0.2","232.4","78.435","33.75","Promo"
"CA-2017-141138","2017-11-10","High","2017-11-16",6,"Standard Class","13.61","GH-14425","Gary Hwang","Consumer","New","Net Banking","United States","California","Modesto","95351","West","TEC-AC-10001772","Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive","Technology","Accessories","5","Social Media",7,"No","0","111.79","43.5981","39","No Discount"
"CA-2016-113733","2016-12-08","Critical","2016-12-12",4,"Standard Class","15.81","LH-16900","Lena Hernandez","Consumer","Returning","Credit Card","United States","North Carolina","Greenville","27834","South","TEC-PH-10002496","Cisco SPA301","Technology","Phones","1","Ads",2,"No","0.2","249.584","31.198","12.5","Promo"
"CA-2017-145772","2017-06-03","Low","2017-06-07",4,"Standard Class","1.11","SS-20140","Saphhira Shifley","Corporate","Returning","UPI","United States","California","Los Angeles","90036","West","OFF-PA-10001593","Xerox 1947","Office Supplies","Paper","3.4594594594594597","Email",2,"No","0","11.96","5.382","44.99999999999999","No Discount"
"CA-2015-126557","2015-07-12","Critical","2015-07-17",5,"Second Class","0.84","RL-19615","Rob Lucas","Consumer","Returning","UPI","United States","Illinois","Chicago","60610","Central","FUR-FU-10001861","Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts","Furniture","Furnishings","2","Ads",1,"No","0.6","7.76","-2.134","-27.499999999999996","Clearance"
"US-2014-105137","2014-10-10","Medium","2014-10-10",0,"Same Day","14.98","RB-19435","Richard Bierner","Consumer","Returning","Credit Card","United States","Ohio","Columbus","43229","East","TEC-MA-10002694","Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner","Technology","Machines","1","Referral",2,"No","0.7","101.994","-71.3958","-70","Clearance"
"CA-2015-113628","2015-11-12","Low","2015-11-19",7,"Standard Class","13.27","AH-10690","Anna Häberlin","Corporate","Returning","Net Banking","United States","Florida","Plantation","33317","South","TEC-PH-10000441","VTech DS6151","Technology","Phones","4","Social Media",1,"No","0.2","100.792","10.0792","10","Promo"
"CA-2016-157749","2016-06-04","Low","2016-06-09",5,"Second Class","3.21","KL-16645","Ken Lonsdale","Consumer","Returning","UPI","United States","Illinois","Chicago","60610","Central","OFF-PA-10003349","Xerox 1957","Office Supplies","Paper","4","Referral",5,"No","0.2","25.92","9.396","36.25","Promo"
"CA-2014-162089","2014-03-30","Critical","2014-04-01",2,"First Class","15.16","MP-17470","Mark Packer","Home Office","New","UPI","United States","Texas","Brownsville","78521","Central","TEC-PH-10001819","Innergie mMini Combo Duo USB Travel Charging Kit","Technology","Phones","4","Direct",7,"No","0.2","251.944","88.1804","35","Promo"
"CA-2016-140081","2016-06-20","Medium","2016-06-24",4,"Standard Class","1.8","CG-12040","Catherine Glotzbach","Home Office","New","Net Banking","United States","Pennsylvania","Philadelphia","19120","East","OFF-PA-10001870","Xerox 202","Office Supplies","Paper","1","Ads",3,"No","0.2","15.552","5.4432","35","Promo"
"CA-2016-157707","2016-10-10","Medium","2016-10-12",2,"First Class","6.57","CC-12610","Corey Catlett","Corporate","Returning","Cash on Delivery","United States","Colorado","Denver","80219","West","FUR-CH-10004853","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","3","Social Media",1,"No","0.2","120.784","13.5882","11.25","Promo"
"CA-2017-145779","2017-05-06","Medium","2017-05-10",4,"Standard Class","7.59","DB-13615","Doug Bickford","Consumer","Returning","Net Banking","United States","Arizona","Tucson","85705","West","OFF-PA-10002254","Xerox 1883","Office Supplies","Paper","3.419642857142857","Referral",4,"No","0.2","84.416","27.4352","32.5","Promo"
"CA-2016-113236","2016-05-26","Low","2016-05-29",3,"Second Class","6.62","CP-12085","Cathy Prescott","Corporate","New","UPI","United States","Florida","Delray Beach","33445","South","TEC-AC-10001267","Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...","Technology","Accessories","3","Referral",2,"No","0.2","47.92","11.98","25","Promo"
"CA-2014-119375","2014-11-17","High","2014-11-22",5,"Standard Class","3.95","YC-21895","Yoseph Carroll","Corporate","New","Cash on Delivery","United States","Delaware","Newark","19711","East","OFF-AR-10003752","Deluxe Chalkboard Eraser Cleaner","Office Supplies","Art","3","Ads",5,"No","0","57.75","26.565","46","No Discount"
"CA-2014-108182","2014-02-06","Critical","2014-02-10",4,"Second Class","0.96","DL-13315","Delfina Latchford","Consumer","New","Net Banking","United States","Illinois","Romeoville","60441","Central","OFF-BI-10001196","Avery Flip-Chart Easel Binder, Black","Office Supplies","Binders","1","Social Media",2,"No","0.8","8.952","-14.7708","-165","Clearance"
"CA-2016-100944","2016-09-24","Low","2016-09-28",4,"Standard Class","30.64","EH-13765","Edward Hooks","Corporate","Returning","UPI","United States","California","Los Angeles","90049","West","OFF-EN-10001453","Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box","Office Supplies","Envelopes","3","Social Media",5,"No","0","304.9","143.303","47","No Discount"
"US-2017-132031","2017-04-23","Medium","2017-04-27",4,"Standard Class","0.22","PN-18775","Parhena Norris","Home Office","Returning","Cash on Delivery","United States","Tennessee","Clarksville","37042","South","OFF-LA-10000081","Avery 496","Office Supplies","Labels","2","Referral",1,"Yes","0.2","3.0","1.05","35","Promo"
"CA-2017-167150","2017-12-10","Medium","2017-12-17",7,"Standard Class","6.55","BP-11185","Ben Peterman","Corporate","Returning","Credit Card","United States","California","San Diego","92037","West","OFF-BI-10001097","Avery Hole Reinforcements","Office Supplies","Binders","4","Direct",4,"No","0.2","19.936","7.2268","36.25","Promo"
"US-2017-130953","2017-07-29","High","2017-08-03",5,"Standard Class","3.88","RF-19735","Roland Fjeld","Consumer","Returning","Cash on Delivery","United States","Oklahoma","Oklahoma City","73120","Central","OFF-BI-10004828","GBC Poly Designer Binding Covers","Office Supplies","Binders","3","Referral",2,"No","0","33.48","16.4052","49.00000000000001","No Discount"
"CA-2017-133249","2017-07-08","Low","2017-07-11",3,"First Class","9.36","SZ-20035","Sam Zeldin","Home Office","New","UPI","United States","California","Pico Rivera","90660","West","FUR-FU-10001588","Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black","Furniture","Furnishings","3","Referral",5,"No","0","145.9","62.737","43","No Discount"
"CA-2015-169796","2015-11-09","High","2015-11-14",5,"Standard Class","192.92","Dp-13240","Dean percer","Home Office","Returning","Cash on Delivery","United States","New York","New York City","10035","East","TEC-MA-10000045","Zebra ZM400 Thermal Label Printer","Technology","Machines","5","Social Media",2,"No","0","2321.9","1114.512","48","No Discount"
"CA-2014-159835","2014-11-17","Low","2014-11-24",7,"Standard Class","1.4","RB-19330","Randy Bradley","Consumer","Returning","UPI","United States","Pennsylvania","Philadelphia","19143","East","OFF-PA-10002137","Southworth 100% Résumé Paper, 24lb.","Office Supplies","Paper","5","Social Media",2,"No","0.2","12.448","3.89","31.25","Promo"
"CA-2016-134376","2016-10-02","Low","2016-10-06",4,"Standard Class","7.3","TT-21265","Tim Taslimi","Corporate","Returning","Cash on Delivery","United States","New York","New York City","10024","East","OFF-AP-10004532","Kensington 6 Outlet Guardian Standard Surge Protector","Office Supplies","Appliances","3","Referral",3,"No","0","61.44","16.5888","27","No Discount"
"US-2016-144393","2016-10-28","Low","2016-11-04",7,"Standard Class","1.39","SM-20950","Suzanne McNair","Corporate","New","UPI","United States","North Carolina","Greenville","27834","South","OFF-BI-10004236","XtraLife ClearVue Slant-D Ring Binder, White, 3""","Office Supplies","Binders","1","Social Media",4,"No","0.7","17.616","-14.0928","-80","Clearance"
"CA-2016-148096","2016-08-16","Low","2016-08-19",3,"First Class","16.21","AO-10810","Anthony O'Donnell","Corporate","Returning","Credit Card","United States","California","Los Angeles","90045","West","FUR-TA-10004152","Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf","Furniture","Tables","2","Direct",2,"No","0.2","161.28","12.096","7.5","Promo"
"CA-2016-126158","2016-07-25","High","2016-07-31",6,"Standard Class","6.45","SC-20095","Sanjit Chand","Consumer","Returning","Cash on Delivery","United States","California","Costa Mesa","92627","West","FUR-FU-10000073","Deflect-O Glasstique Clear Desk Accessories","Furniture","Furnishings","2","Referral",9,"Yes","0","69.3","22.869","33","No Discount"
"US-2014-126571","2014-10-11","High","2014-10-15",4,"Standard Class","17","JF-15565","Jill Fjeld","Consumer","Returning","UPI","United States","Pennsylvania","Philadelphia","19120","East","OFF-EN-10002230","Airmail Envelopes","Office Supplies","Envelopes","2","Ads",3,"No","0.2","201.432","67.9833","33.75","Promo"
"CA-2017-160927","2017-01-29","Low","2017-01-31",2,"Second Class","0.8","TM-21010","Tamara Manning","Consumer","New","UPI","United States","Iowa","Marion","52302","Central","FUR-FU-10000010","DAX Value U-Channel Document Frames, Easel Back","Furniture","Furnishings","1","Referral",3,"No","0","14.91","4.6221","31","No Discount"
"CA-2015-158351","2015-06-20","Low","2015-06-24",4,"Second Class","18.9","BC-11125","Becky Castell","Home Office","Returning","Cash on Delivery","United States","Pennsylvania","Philadelphia","19134","East","TEC-AC-10001838","Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset","Technology","Accessories","4","Direct",2,"No","0.2","319.984","91.9954","28.750000000000004","Promo"
"CA-2015-153038","2015-12-18","Low","2015-12-25",7,"Standard Class","1.21","RB-19645","Robert Barroso","Corporate","Returning","Cash on Delivery","United States","Tennessee","Memphis","38109","South","OFF-LA-10004008","Avery 507","Office Supplies","Labels","3","Referral",8,"No","0.2","18.432","5.9904","32.5","Promo"
"CA-2014-133963","2014-05-18","Low","2014-05-22",4,"Second Class","0.24","GA-14515","George Ashbrook","Consumer","Returning","Net Banking","United States","Texas","Dallas","75220","Central","OFF-PA-10001526","Xerox 1949","Office Supplies","Paper","1","Referral",1,"No","0.2","3.984","1.4442","36.25","Promo"
"CA-2014-154837","2014-08-23","Medium","2014-08-27",4,"Second Class","2.62","RB-19645","Robert Barroso","Corporate","Returning","Credit Card","United States","California","Los Angeles","90032","West","OFF-BI-10001575","GBC Linen Binding Covers","Office Supplies","Binders","4","Referral",2,"No","0.2","49.568","17.3488","35","Promo"
"CA-2017-149881","2017-04-01","High","2017-04-03",2,"First Class","34.86","NC-18535","Nick Crebassa","Corporate","Returning","UPI","United States","California","San Francisco","94110","West","FUR-BO-10003894","Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black","Furniture","Bookcases","4","Social Media",8,"No","0.15","482.664","85.176","17.647058823529413","Promo"
"CA-2017-164756","2017-09-18","High","2017-09-22",4,"Standard Class","18.06","SS-20140","Saphhira Shifley","Corporate","New","Net Banking","United States","Georgia","Columbus","31907","South","OFF-PA-10003228","Xerox 1917","Office Supplies","Paper","5","Email",5,"No","0","244.55","114.9385","47","No Discount"
"CA-2017-148012","2017-12-09","High","2017-12-15",6,"Standard Class","0.38","KM-16225","Kalyca Meade","Corporate","New","Cash on Delivery","United States","Pennsylvania","Philadelphia","19143","East","OFF-AR-10004757","Crayola Colored Pencils","Office Supplies","Art","3","Social Media",1,"No","0.2","2.624","0.4264","16.25","Promo"
"CA-2015-126697","2015-09-21","High","2015-09-24",3,"First Class","13.51","SV-20815","Stuart Van","Corporate","Returning","Net Banking","United States","Texas","Houston","77041","Central","TEC-AC-10004353","Hypercom P1300 Pinpad","Technology","Accessories","4","Direct",3,"No","0.2","151.2","32.13","21.250000000000004","Promo"
"CA-2014-156314","2014-12-24","High","2014-12-26",2,"First Class","3.51","RP-19390","Resi Pölking","Consumer","New","Credit Card","United States","Ohio","Cleveland","44105","East","FUR-FU-10003096","Master Giant Foot Doorstop, Safety Yellow","Furniture","Furnishings","3","Referral",5,"No","0.2","30.36","8.7285","28.750000000000004","Promo"
"CA-2015-130995","2015-11-01","Medium","2015-11-06",5,"Standard Class","0.34","QJ-19255","Quincy Jones","Corporate","New","Cash on Delivery","United States","New York","New York City","10009","East","TEC-PH-10000347","Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple","Technology","Phones","4","Ads",1,"No","0","4.95","1.3365","27","No Discount"
"CA-2014-106971","2014-09-02","Critical","2014-09-08",6,"Standard Class","46.2","BM-11785","Bryan Mills","Consumer","Returning","Net Banking","United States","Illinois","Buffalo Grove","60089","Central","TEC-AC-10000844","Logitech Gaming G510s - Keyboard","Technology","Accessories","3","Social Media",7,"Yes","0.2","475.944","95.1888","20","Promo"
"CA-2014-131541","2014-07-28","High","2014-07-28",0,"Same Day","1.78","CK-12205","Chloris Kastensmidt","Consumer","Returning","Net Banking","United States","Florida","Apopka","32712","South","OFF-FA-10000621","OIC Colored Binder Clips, Assorted Sizes","Office Supplies","Fasteners","3","Direct",5,"No","0.2","14.32","5.191","36.25","Promo"
"CA-2014-114643","2014-06-13","Low","2014-06-17",4,"Standard Class","1.31","FM-14215","Filia McAdams","Corporate","Returning","Net Banking","United States","California","Los Angeles","90032","West","OFF-AR-10003631","Staples in misc. colors","Office Supplies","Art","5","Email",3,"No","0","14.52","4.7916","33","No Discount"
"US-2014-138247","2014-12-24","High","2014-12-29",5,"Standard Class","38.25","BF-11170","Ben Ferrer","Home Office","New","Cash on Delivery","United States","California","Los Angeles","90045","West","OFF-AP-10000828","Avanti 4.4 Cu. Ft. Refrigerator","Office Supplies","Appliances","3","Social Media",2,"No","0","361.96","101.3488","28.000000000000004","No Discount"
"CA-2017-136623","2017-07-11","High","2017-07-16",5,"Standard Class","6.89","TS-21430","Tom Stivers","Corporate","Returning","Net Banking","United States","California","San Diego","92105","West","TEC-PH-10000004","Belkin iPhone and iPad Lightning Cable","Technology","Phones","2","Ads",6,"No","0.2","71.952","5.3964","7.5","Promo"
"CA-2017-143035","2017-10-03","High","2017-10-05",2,"Second Class","4.67","CC-12430","Chuck Clark","Home Office","Returning","Credit Card","United States","New York","New York City","10009","East","FUR-FU-10001934","Magnifier Swing Arm Lamp","Furniture","Furnishings","4","Direct",4,"No","0","83.92","21.8192","25.999999999999996","No Discount"
"CA-2017-103380","2017-11-21","Medium","2017-11-25",4,"Standard Class","0.6","BF-11005","Barry Franz","Home Office","Returning","Cash on Delivery","United States","California","Pasadena","91104","West","OFF-FA-10004248","Advantus T-Pin Paper Clips","Office Supplies","Fasteners","4","Email",2,"No","0","9.02","3.5178","39","No Discount"
"CA-2017-109183","2017-12-04","Medium","2017-12-09",5,"Standard Class","73.26","LR-16915","Lena Radford","Consumer","Returning","UPI","United States","Tennessee","Nashville","37211","South","TEC-MA-10001856","Okidata C610n Printer","Technology","Machines","3","Ads",2,"No","0.5","649.0","-272.58","-42","Clearance"
"US-2016-144477","2016-08-12","High","2016-08-14",2,"Second Class","3.15","DB-13270","Deborah Brumfield","Home Office","Returning","Net Banking","United States","Pennsylvania","Philadelphia","19134","East","OFF-AR-10000914","Boston 16765 Mini Stand Up Battery Pencil Sharpener","Office Supplies","Art","5","Email",4,"No","0.2","37.312","2.7984","7.500000000000001","Promo"
"US-2015-132836","2015-06-01","High","2015-06-05",4,"Standard Class","32.8","AJ-10945","Ashley Jarboe","Consumer","Returning","UPI","United States","Michigan","Detroit","48227","Central","TEC-PH-10001299","Polycom CX300 Desktop Phone USB VoIP phone","Technology","Phones","3","Social Media",2,"No","0","299.98","83.9944","27.999999999999996","No Discount"
"US-2017-142188","2017-09-11","High","2017-09-11",0,"Same Day","10.14","JF-15415","Jennifer Ferguson","Consumer","New","UPI","United States","Washington","Seattle","98105","West","OFF-PA-10004101","Xerox 1894","Office Supplies","Paper","3","Direct",11,"No","0","71.28","34.2144","48","No Discount"
"CA-2016-127208","2016-06-12","Critical","2016-06-15",3,"First Class","21.88","SC-20770","Stewart Carmichael","Corporate","Returning","Net Banking","United States","Alabama","Decatur","35601","South","OFF-AP-10002118","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Office Supplies","Appliances","4","Ads",1,"No","0","208.16","56.2032","27","No Discount"
"CA-2014-140228","2014-04-28","Medium","2014-05-03",5,"Standard Class","14.89","GB-14530","George Bell","Corporate","Returning","Cash on Delivery","United States","Ohio","Newark","43055","East","OFF-ST-10001128","Carina Mini System Audio Rack, Model AR050B","Office Supplies","Storage","4","Email",2,"No","0.2","177.568","-37.7332","-21.249999999999996","Promo"
"CA-2014-141649","2014-09-30","Medium","2014-09-30",0,"Same Day","81.92","DM-12955","Dario Medina","Corporate","Returning","UPI","United States","Ohio","Fairfield","45014","East","OFF-AP-10003217","Eureka Sanitaire  Commercial Upright","Office Supplies","Appliances","1","Social Media",6,"No","0.2","795.408","59.6556","7.5","Promo"
"CA-2015-110016","2015-11-29","Medium","2015-12-04",5,"Standard Class","140.79","BT-11395","Bill Tyler","Corporate","Returning","Net Banking","United States","Michigan","Detroit","48227","Central","FUR-CH-10002880","Global High-Back Leather Tilter, Burgundy","Furniture","Chairs","3","Referral",9,"No","0","1106.91","121.7601","10.999999999999998","No Discount"
"CA-2014-160766","2014-09-14","Critical","2014-09-14",0,"Same Day","8.25","DM-13015","Darrin Martin","Consumer","Returning","Credit Card","United States","New York","New York City","10009","East","OFF-EN-10001099","Staple envelope","Office Supplies","Envelopes","4","Email",7,"No","0","68.46","31.4916","46","No Discount"
"CA-2015-103135","2015-07-24","Critical","2015-07-28",4,"Standard Class","13.45","SS-20515","Shirley Schmidt","Home Office","Returning","Credit Card","United States","Kentucky","Louisville","40214","South","OFF-BI-10000069","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","Office Supplies","Binders","5","Direct",9,"No","0","135.09","62.1414","46","No Discount"
"CA-2014-144071","2014-12-08","Critical","2014-12-15",7,"Standard Class","5.22","DJ-13420","Denny Joy","Corporate","Returning","Credit Card","United States","California","San Francisco","94110","West","FUR-FU-10000758","DAX Natural Wood-Tone Poster Frame","Furniture","Furnishings","5","Referral",3,"No","0","79.44","28.5984","36.00000000000001","No Discount"
"CA-2017-127782","2017-11-02","Critical","2017-11-06",4,"Standard Class","0.2","TH-21115","Thea Hudgings","Corporate","Returning","UPI","United States","Pennsylvania","Philadelphia","19140","East","FUR-FU-10001847","Eldon Image Series Black Desk Accessories","Furniture","Furnishings","4","Email",1,"No","0.2","3.312","0.6624","20","Promo"
"CA-2017-131695","2017-06-30","Low","2017-07-06",6,"Standard Class","3.22","RA-19285","Ralph Arnett","Consumer","Returning","UPI","United States","New York","New York City","10024","East","FUR-FU-10002045","Executive Impressions 14""","Furniture","Furnishings","3.325","Social Media",1,"No","0","22.23","9.7812","44","No Discount"
"CA-2017-144848","2017-04-04","Medium","2017-04-05",1,"First Class","12.16","DS-13030","Darrin Sayre","Home Office","Returning","Net Banking","United States","New York","New York City","10009","East","TEC-PH-10002262","LG Electronics Tone+ HBS-730 Bluetooth Headset","Technology","Phones","4","Social Media",2,"No","0","119.02","33.3256","28.000000000000004","No Discount"
"CA-2015-156853","2015-12-03","Medium","2015-12-05",2,"Second Class","11.27","HP-14815","Harold Pawlan","Home Office","Returning","Cash on Delivery","United States","New Hampshire","Concord","3301","East","OFF-PA-10003656","Xerox 1935","Office Supplies","Paper","2","Social Media",7,"No","0","184.66","84.9436","46","No Discount"
"US-2017-115595","2017-10-09","Medium","2017-10-11",2,"First Class","4.87","XP-21865","Xylona Preis","Consumer","Returning","Credit Card","United States","California","Los Angeles","90032","West","OFF-PA-10001745","Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page","Office Supplies","Paper","1","Referral",5,"No","0","35.2","16.544","47","No Discount"
"CA-2014-146283","2014-09-08","Critical","2014-09-15",7,"Standard Class","23.11","KT-16465","Kean Takahito","Consumer","New","Net Banking","United States","Texas","Houston","77036","Central","OFF-PA-10000482","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","Office Supplies","Paper","4","Ads",6,"No","0.2","182.112","61.4628","33.75","Promo"
